prix,vue.le,piec.,m2,ville,arrondissement,rue,titre,depuis,évol.,prix.m2
390 000€,05/12,2,42,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 42m2",0022 jours,,9286
390 000€,21/11,2,38,paris,10eme ardsmnt,Rue de paradis                       ,"Appartement - 2 pièces, 38m2",05050 jours,,10264
392 200€,01/12,2,30,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 30m2",02828 jours,,13074
395 000€,04/12,2,36,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 36m2",03838 jours,,10973
395 000€,04/12,2,36,paris,10eme ardsmnt,Canal st-martin,"Appartement - 2 pièces, 36m2",0022 jours,,10973
395 000€,01/12,2,38,paris,10eme ardsmnt,Canal st-martin,"Appartement - 2 pièces, 38m2",05757 jours,,10395
395 000€,30/11,NA,38,paris,10eme ardsmnt,Canal st-martin,"Appartement, 38m2",01616 jours,,10395
395 000€,23/11,1,42,paris,10eme ardsmnt,NA,"Appartement - studio, 42m2",05353 jours,,9405
395 000€,03/12,2,43,paris,10eme ardsmnt,Place sainte-marthe                  ,"Appartement - 2 pièces, 43m2",02020 jours,,9187
395 000€,04/12,2,35,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",03636 jours,-001-1.00%,11286
399 000€,01/12,2,34,paris,10eme ardsmnt,Quai de jemmapes                     ,"Appartement - 2 pièces, 34m2",140140 jours,"-005,9-5.90%",11736
399 000€,05/12,2,37,paris,10eme ardsmnt,Rue du faubourg saint-denis          ,"Appartement - 2 pièces, 37m2",01919 jours,-005-5.00%,10784
399 000€,02/12,2,35,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",140140 jours,"-005,9-5.90%",11400
399 000€,05/12,2,35,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",04343 jours,,11400
399 000€,05/12,2,43,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 43m2",316316 jours,-005-5.00%,9280
392 000€,05/12,2,34,paris,9eme ardsmnt,Saint-georges,"Appartement - 2 pièces, 34m2",0077 jours,,11530
395 000€,01/12,1,36,paris,9eme ardsmnt,NA,"Appartement - studio, 36m2",169169 jours,"-004,82-4.82%",10973
399 000€,04/12,1,26,paris,9eme ardsmnt,NA,"Appartement - studio, 26m2",08888 jours,,15347
399 000€,26/11,1,26,paris,9eme ardsmnt,Rue de sèze                         ,"Appartement - studio, 26m2",08787 jours,,15347
399 000€,04/12,2,44,paris,9eme ardsmnt,NA,"Appartement - 2 pièces, 44m2",09999 jours,stable,9069
399 000€,05/12,2,35,paris,9eme ardsmnt,Rue de montyon                       ,"Appartement - 2 pièces, 35m2",07070 jours,,11400
390 000€,03/12,2,43,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 43m2",01111 jours,,9070
390 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",09696 jours,,11143
390 000€,04/12,2,43,paris,17eme ardsmnt,Rue guy môquet                      ,"Appartement - 2 pièces, 43m2",01010 jours,,9070
390 000€,03/12,3,42,paris,17eme ardsmnt,Batignolles,"Appartement - 3 pièces, 42m2",119119 jours,"-008,02-8.02%",9286
390 000€,05/12,2,35,paris,17eme ardsmnt,Rue legendre                         ,"Appartement - 2 pièces, 35m2",07777 jours,,11143
395 000€,05/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",001hier,,11286
395 000€,05/12,2,37,paris,17eme ardsmnt,Batignolles,"Appartement - 2 pièces, 37m2",001hier,,10676
395 000€,17/11,1,41,paris,17eme ardsmnt,NA,"Appartement - studio, 41m2",01919 jours,,9635
395 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",02828 jours,,11286
395 000€,23/11,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",01212 jours,,11286
395 000€,02/12,2,34,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 34m2",174174 jours,,11618
395 000€,30/11,NA,34,paris,17eme ardsmnt,Rue guillaume tell                   ,"Appartement, 34m2",03535 jours,,11618
395 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",175175 jours,,11286
395 000€,27/11,1,34,paris,17eme ardsmnt,Rue guillaume tell                   ,"Appartement - studio, 34m2",09191 jours,,11618
395 000€,02/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",02828 jours,,11286
395 000€,30/11,2,39,paris,17eme ardsmnt,Avenue de saint-ouen                 ,"Appartement - 2 pièces, 39m2",01515 jours,"-004,82-4.82%",10129
395 000€,03/12,2,52,paris,17eme ardsmnt,Rue nollet                           ,"Appartement - 2 pièces, 52m2",06161 jours,,7597
397 500€,17/11,2,36,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 36m2",03030 jours,,11042
397 500€,01/12,3,36,paris,17eme ardsmnt,NA,"Appartement - 3 pièces, 36m2",07171 jours,,11042
398 000€,02/12,2,35,paris,17eme ardsmnt,Rue de tocqueville                   ,"Appartement - 2 pièces, 35m2",0077 jours,,11372
399 000€,05/12,2,37,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 37m2",0aujourd'hui,,10784
399 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",0099 jours,,11400
399 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",0066 jours,,11400
399 000€,01/12,2,35,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",0055 jours,,11400
399 000€,01/12,2,61,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 61m2",05959 jours,,6541
399 000€,29/11,2,61,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 61m2",01616 jours,,6541
399 000€,03/12,2,61,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 61m2",05858 jours,,6541
399 900€,04/12,2,37,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 37m2",01313 jours,"-004,76-4.76%",10809
390 000€,04/12,2,55,paris,19eme ardsmnt,NA,"Appartement - 2 pièces, 55m2",05454 jours,,7091
390 000€,29/11,NA,55,paris,19eme ardsmnt,Allée des eiders                    ,"Appartement, 55m2",01616 jours,,7091
376 000€,19/11,2,45,paris,19eme ardsmnt,NA,"Appartement - 2 pièces, 45m2",01616 jours,,8356
170 000€,05/12,1,19,paris,18eme ardsmnt,NA,"Appartement - studio, 19m2",01414 jours,,8948
170 000€,05/12,1,19,paris,18eme ardsmnt,NA,"Appartement - studio, 19m2",04747 jours,,8948
299 000€,05/12,1,27,paris,18eme ardsmnt,NA,"Appartement - studio, 27m2",01414 jours,,11075
299 000€,05/12,1,27,paris,18eme ardsmnt,Abbesses,"Appartement - studio, 27m2",01616 jours,,11075
299 000€,05/12,1,27,paris,18eme ardsmnt,NA,"Appartement - studio, 27m2",01616 jours,,11075
249 000€,05/12,1,31,paris,5eme ardsmnt,Rue pierre nicole                    ,"Appartement - studio, 31m2",02121 jours,,8033
190 000€,27/11,1,21,paris,6eme ardsmnt,Rue monsieur le prince               ,"Appartement - studio, 21m2",01818 jours,,9048
340 000€,17/11,2,36,paris,11eme ardsmnt,Passage thiéré                     ,"Appartement - 2 pièces, 36m2",03333 jours,,9445
395 000€,21/11,2,52,paris,11eme ardsmnt,Rue servan                           ,"Appartement - 2 pièces, 52m2",05353 jours,,7597
259 000€,29/11,1,27,paris,16eme ardsmnt,Rue erlanger                         ,"Appartement - studio, 27m2",01414 jours,,9593
400 000€,03/12,2,42,paris,16eme ardsmnt,Avenue de malakoff                   ,"Appartement - 2 pièces, 42m2",0055 jours,,9524
298 000€,04/12,2,34,paris,3eme ardsmnt,Rue des gravilliers                  ,"Appartement - 2 pièces, 34m2",0044 jours,,8765
158 000€,05/12,1,26,paris,18eme ardsmnt,Rue boucry                           ,"Appartement - studio, 26m2",02626 jours,,6077
299 000€,05/12,1,28,paris,15eme ardsmnt,Rue de chambéry                     ,"Appartement - studio, 28m2",0099 jours,,10679
298 000€,05/12,2,31,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 31m2",001hier,,9613
359 000€,04/12,3,51,paris,12eme ardsmnt,NA,"Appartement - 3 pièces, 51m2",01818 jours,,7040
199 000€,04/12,2,21,paris,15eme ardsmnt,NA,"Appartement - 2 pièces, 21m2",254254 jours,"-005,24-5.24%",9477
249 500€,22/11,2,26,paris,15eme ardsmnt,NA,"Appartement - 2 pièces, 26m2",06565 jours,,9597
400 000€,03/12,1,31,paris,15eme ardsmnt,NA,"Appartement - studio, 31m2",04949 jours,,12904
270 000€,05/12,2,34,paris,5eme ardsmnt,NA,"Appartement - 2 pièces, 34m2",05454 jours,,7942
299 000€,20/11,2,27,paris,11eme ardsmnt,Place de la république              ,"Appartement - 2 pièces, 27m2",146146 jours,,11075
130 000€,16/11,1,11,paris,16eme ardsmnt,Victor hugo,"Appartement - studio, 11m2",03939 jours,,11819
397 900€,16/11,2,36,paris,16eme ardsmnt,Avenue victor hugo                   ,"Appartement - 2 pièces, 36m2",03333 jours,,11053
210 000€,04/12,1,21,paris,20eme ardsmnt,NA,"Appartement - studio, 21m2",01515 jours,,10000
250 000€,04/12,2,29,paris,20eme ardsmnt,NA,"Appartement - 2 pièces, 29m2",03636 jours,,8621
355 000€,30/11,2,30,paris,2eme ardsmnt,Rue du nil                           ,"Appartement - 2 pièces, 30m2",0088 jours,,11834
225 000€,02/12,2,25,paris,10eme ardsmnt,Canal st-martin,"Appartement - 2 pièces, 25m2",106106 jours,"-007,79-7.79%",9000
115 000€,16/11,2,14,paris,17eme ardsmnt,NA,"Appartement - 2 pièces, 14m2",07373 jours,"-004,17-4.17%",8215
179 000€,30/11,1,17,paris,17eme ardsmnt,NA,"Appartement - studio, 17m2",05151 jours,,10530
225 000€,01/12,1,22,paris,17eme ardsmnt,Epinettes,"Appartement - studio, 22m2",05757 jours,,10228
273 500€,16/11,1,22,paris,17eme ardsmnt,Place du maréchal juin              ,"Appartement - studio, 22m2",04646 jours,"-003,01-3.01%",12432
350 000€,04/12,1,28,paris,17eme ardsmnt,NA,"Appartement - studio, 28m2",113113 jours,"-033,33-33.33%",12500
115 000€,26/11,1,13,paris,19eme ardsmnt,NA,"Appartement - studio, 13m2",02525 jours,,8847
362 400€,04/12,4,68,paris,19eme ardsmnt,NA,"Appartement - 4 pièces, 68m2",01818 jours,,5330
368 000€,04/12,3,50,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 50m2",02323 jours,,7360
195 000€,05/12,1,21,paris,18eme ardsmnt,NA,"Appartement - studio, 21m2",08686 jours,"-004,88-4.88%",9286
315 000€,05/12,2,37,paris,18eme ardsmnt,Rue des roses                        ,"Appartement - 2 pièces, 37m2",001hier,,8514
335 000€,05/12,2,45,paris,18eme ardsmnt,Rue boucry                           ,"Appartement - 2 pièces, 45m2",07070 jours,,7445
188 000€,18/11,1,15,paris,14eme ardsmnt,Rue vercingétorix                   ,"Appartement - studio, 15m2",101101 jours,,12534
275 000€,05/12,2,27,paris,19eme ardsmnt,NA,"Appartement - 2 pièces, 27m2",04141 jours,,10186
125 350€,18/11,1,13,paris,11eme ardsmnt,NA,"Appartement - studio, 13m2",04747 jours,,9643
315 000€,28/11,2,25,paris,16eme ardsmnt,Rue fresnel                          ,"Appartement - 2 pièces, 25m2",120120 jours,,12600
370 000€,29/11,1,29,paris,8eme ardsmnt,Champs elysees,"Appartement - studio, 29m2",0088 jours,,12759
199 000€,30/11,1,15,paris,16eme ardsmnt,Avenue raymond poincaré             ,"Appartement - studio, 15m2",02929 jours,,13267
200 000€,05/12,1,25,paris,20eme ardsmnt,NA,"Appartement - studio, 25m2",0066 jours,,8000
255 000€,20/11,2,23,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 23m2",04848 jours,,11087
255 000€,05/12,2,32,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 32m2",222222 jours,,7969
364 000€,04/12,2,45,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 45m2",02929 jours,,8089
199 000€,30/11,1,29,paris,12eme ardsmnt,NA,"Appartement - studio, 29m2",182182 jours,,6863
367 500€,27/11,1,32,paris,12eme ardsmnt,NA,"Appartement - studio, 32m2",08383 jours,,11485
300 000€,05/12,NA,34,paris,5eme ardsmnt,NA,"Appartement, 34m2",209209 jours,,8824
218 385€,16/11,2,15,paris,7eme ardsmnt,Rue saint-dominique                  ,"Appartement - 2 pièces, 15m2",04848 jours,,14559
218 500€,29/11,1,15,paris,7eme ardsmnt,Rue saint-dominique                  ,"Appartement - studio, 15m2",01919 jours,,14567
249 000€,03/12,1,14,paris,7eme ardsmnt,Gros caillou,"Appartement - studio, 14m2",154154 jours,,17786
284 000€,05/12,2,28,paris,11eme ardsmnt,Rue jean-pierre timbaud              ,"Appartement - 2 pièces, 28m2",09393 jours,,10143
405 000€,24/11,3,41,paris,11eme ardsmnt,Folie mericourt,"Appartement - 3 pièces, 41m2",173173 jours,"-003,57-3.57%",9879
110 000€,04/12,1,10,paris,16eme ardsmnt,Rue de l'assomption                  ,"Appartement - studio, 10m2",08484 jours,,11000
375 000€,28/11,NA,38,paris,16eme ardsmnt,Quai louis blériot                  ,"Appartement, 38m2",205205 jours,"-010,71-10.71%",9869
198 000€,29/11,1,18,paris,3eme ardsmnt,Rue notre-dame de nazareth           ,"Appartement - studio, 18m2",05757 jours,,11000
170 400€,04/12,1,19,paris,20eme ardsmnt,Belleville,"Appartement - studio, 19m2",03636 jours,,8969
181 050€,04/12,1,23,paris,20eme ardsmnt,Gambetta,"Appartement - studio, 23m2",154154 jours,"-008,11-8.11%",7872
360 880€,05/12,1,24,paris,2eme ardsmnt,NA,"Appartement - studio, 24m2",08484 jours,,15037
315 000€,02/12,2,28,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 28m2",01010 jours,,11250
336 000€,03/12,2,30,paris,10eme ardsmnt,Place de la république              ,"Appartement - 2 pièces, 30m2",133133 jours,"-002,89-2.89%",11200
263 000€,21/11,1,26,paris,17eme ardsmnt,NA,"Appartement - studio, 26m2",08585 jours,"-002,7-2.70%",10116
287 000€,03/12,2,32,paris,17eme ardsmnt,Rue de la jonquière                 ,"Appartement - 2 pièces, 32m2",0066 jours,,8969
346 000€,03/12,1,32,paris,17eme ardsmnt,NA,"Appartement - studio, 32m2",05656 jours,"-003,89-3.89%",10813
355 000€,27/11,1,27,paris,17eme ardsmnt,Rue brey                             ,"Appartement - studio, 27m2",03030 jours,,13149
114 000€,04/12,1,18,paris,19eme ardsmnt,Villette,"Appartement - studio, 18m2",01212 jours,,6334
286 600€,22/11,1,28,paris,19eme ardsmnt,NA,"Appartement - studio, 28m2",04343 jours,,10236
250 000€,02/12,2,31,paris,18eme ardsmnt,NA,"Appartement - 2 pièces, 31m2",02828 jours,,8065
282 000€,05/12,1,28,paris,18eme ardsmnt,Esplanade nathalie sarraute          ,"Appartement - studio, 28m2",139139 jours,,10072
270 000€,04/12,1,23,paris,13eme ardsmnt,Rue jeanne d'arc                     ,"Appartement - studio, 23m2",001hier,,11740
285 900€,30/11,2,25,paris,13eme ardsmnt,Square arago                         ,"Appartement - 2 pièces, 25m2",0099 jours,,11436
285 900€,20/11,2,25,paris,13eme ardsmnt,Square arago                         ,"Appartement - 2 pièces, 25m2",01616 jours,,11436
285 900€,16/11,2,25,paris,13eme ardsmnt,Square arago                         ,"Appartement - 2 pièces, 25m2",02121 jours,,11436
252 000€,05/12,1,24,paris,12eme ardsmnt,NA,"Appartement - studio, 24m2",02222 jours,,10500
120 900€,02/12,1,12,paris,10eme ardsmnt,Rue cail                             ,"Appartement - studio, 12m2",03737 jours,,10075
274 900€,01/12,1,21,paris,17eme ardsmnt,Rue guillaume tell                   ,"Appartement - studio, 21m2",03939 jours,,13091
358 000€,02/12,2,45,paris,19eme ardsmnt,Place des fêtes                     ,"Appartement - 2 pièces, 45m2",03030 jours,,7956
395 000€,03/12,3,52,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 52m2",0022 jours,,7597
395 000€,25/11,3,52,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 52m2",01616 jours,"-003,66-3.66%",7597
395 000€,03/12,3,52,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 52m2",0099 jours,,7597
110 900€,03/12,1,10,paris,18eme ardsmnt,NA,"Appartement - studio, 10m2",01919 jours,"-004,31-4.31%",11090
110 900€,03/12,1,10,paris,18eme ardsmnt,NA,"Appartement - studio, 10m2",0022 jours,,11090
115 900€,19/11,1,10,paris,18eme ardsmnt,NA,"Appartement - studio, 10m2",01818 jours,,11590
354 000€,27/11,1,35,paris,18eme ardsmnt,NA,"Appartement - studio, 35m2",06464 jours,,10115
230 000€,27/11,1,17,paris,5eme ardsmnt,NA,"Appartement - studio, 17m2",05858 jours,,13530
335 000€,01/12,2,30,paris,5eme ardsmnt,NA,"Appartement - 2 pièces, 30m2",06060 jours,,11167
385 000€,01/12,2,34,paris,5eme ardsmnt,Rue buffon                           ,"Appartement - 2 pièces, 34m2",04646 jours,,11324
406 000€,01/12,2,35,paris,5eme ardsmnt,Rue flatters                         ,"Appartement - 2 pièces, 35m2",0055 jours,,11600
406 000€,30/11,2,35,paris,5eme ardsmnt,Rue flatters                         ,"Appartement - 2 pièces, 35m2",248248 jours,"-006,67-6.67%",11600
295 000€,05/12,1,21,paris,4eme ardsmnt,Rue le regrattier                    ,"Appartement - studio, 21m2",06060 jours,,14048
350 000€,03/12,1,23,paris,4eme ardsmnt,NA,"Appartement - studio, 23m2",01515 jours,,15218
400 000€,05/12,1,33,paris,4eme ardsmnt,Rue mornay                           ,"Appartement - studio, 33m2",02020 jours,,12122
393 500€,26/11,1,26,paris,7eme ardsmnt,NA,"Appartement - studio, 26m2",08484 jours,"-009,75-9.75%",15135
220 000€,01/12,1,20,paris,11eme ardsmnt,Bastille,"Appartement - studio, 20m2",04343 jours,,11000
220 000€,19/11,1,20,paris,11eme ardsmnt,Bastille,"Appartement - studio, 20m2",04444 jours,,11000
299 000€,03/12,1,23,paris,1er ardsmnt,Rue de l'arbre sec                   ,"Appartement - studio, 23m2",04747 jours,-008-8.00%,13000
365 000€,01/12,2,36,paris,17eme ardsmnt,Rue de la jonquière                 ,"Appartement - 2 pièces, 36m2",399399 jours,,10139
170 000€,30/11,1,19,paris,19eme ardsmnt,NA,"Appartement - studio, 19m2",0077 jours,,8948
160 000€,04/12,1,16,paris,18eme ardsmnt,Rue feutrier                         ,"Appartement - studio, 16m2",0077 jours,,10000
341 000€,05/12,1,32,paris,13eme ardsmnt,Butte aux cailles,"Appartement - studio, 32m2",04747 jours,,10657
248 000€,05/12,1,23,paris,14eme ardsmnt,NA,"Appartement - studio, 23m2",0aujourd'hui,"-004,62-4.62%",10783
289 000€,30/11,1,27,paris,12eme ardsmnt,Rue de charenton                     ,"Appartement - studio, 27m2",0088 jours,,10704
243 000€,05/12,NA,24,paris,15eme ardsmnt,NA,"Appartement, 24m2",169169 jours,,10125
395 000€,22/11,2,38,paris,15eme ardsmnt,NA,"Appartement - 2 pièces, 38m2",05959 jours,,10395
275 000€,03/12,1,19,paris,3eme ardsmnt,NA,"Appartement - studio, 19m2",0055 jours,,14474
390 000€,03/12,1,34,paris,3eme ardsmnt,Place de la république              ,"Appartement - studio, 34m2",148148 jours,,11471
399 000€,22/11,2,45,paris,20eme ardsmnt,NA,"Appartement - 2 pièces, 45m2",07171 jours,"-003,86-3.86%",8867
270 000€,05/12,2,27,paris,2eme ardsmnt,Rue greneta                          ,"Appartement - 2 pièces, 27m2",0055 jours,,10000
374 000€,05/12,2,48,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 48m2",125125 jours,"-014,02-14.02%",7792
290 000€,04/12,1,25,paris,9eme ardsmnt,NA,"Appartement - studio, 25m2",04040 jours,,11600
300 000€,04/12,2,28,paris,9eme ardsmnt,NA,"Appartement - 2 pièces, 28m2",0077 jours,,10715
248 000€,01/12,1,21,paris,17eme ardsmnt,Rue labie                            ,"Appartement - studio, 21m2",06363 jours,"-004,98-4.98%",11810
344 000€,04/12,3,45,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 45m2",132132 jours,"-004,18-4.18%",7645
395 000€,04/12,3,53,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 53m2",04747 jours,,7453
095 200€,05/12,1,18,paris,18eme ardsmnt,NA,"Appartement - studio, 18m2",169169 jours,,5289
165 000€,16/11,1,10,paris,18eme ardsmnt,Place des abbesses                   ,"Appartement - studio, 10m2",02121 jours,,16500
177 000€,05/12,2,43,paris,15eme ardsmnt,NA,"Appartement - 2 pièces, 43m2",05656 jours,,4117
166 800€,05/12,2,28,paris,11eme ardsmnt,NA,"Appartement - 2 pièces, 28m2",05656 jours,,5958
366 980€,04/12,3,66,paris,13eme ardsmnt,NA,"Appartement - 3 pièces, 66m2",01414 jours,,5561
289 800€,29/11,2,33,paris,14eme ardsmnt,NA,"Appartement - 2 pièces, 33m2",389389 jours,"-016,36-16.36%",8782
235 000€,04/12,4,42,paris,12eme ardsmnt,NA,"Appartement - 4 pièces, 42m2",119119 jours,-006-6.00%,5596
320 000€,05/12,3,58,paris,12eme ardsmnt,Bastille,"Appartement - 3 pièces, 58m2",03636 jours,,5518
355 000€,05/12,2,40,paris,12eme ardsmnt,NA,"Appartement - 2 pièces, 40m2",01515 jours,,8875
359 000€,04/12,2,39,paris,12eme ardsmnt,NA,"Appartement - 2 pièces, 39m2",06666 jours,,9206
360 000€,30/11,1,24,paris,4eme ardsmnt,NA,"Appartement - studio, 24m2",03131 jours,,15000
367 500€,30/11,1,20,paris,4eme ardsmnt,NA,"Appartement - studio, 20m2",05656 jours,,18375
300 000€,29/11,1,37,paris,16eme ardsmnt,NA,"Appartement - studio, 37m2",07676 jours,"-014,29-14.29%",8109
359 500€,03/12,3,70,paris,20eme ardsmnt,NA,"Appartement - 3 pièces, 70m2",165165 jours,,5136
359 500€,03/12,3,70,paris,20eme ardsmnt,NA,"Appartement - 3 pièces, 70m2",288288 jours,"-002,84-2.84%",5136
179 000€,29/11,2,18,paris,10eme ardsmnt,Rue taylor                           ,"Appartement - 2 pièces, 18m2",0077 jours,,9945
315 000€,05/12,2,35,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",0aujourd'hui,,9000
125 000€,04/12,3,28,paris,19eme ardsmnt,NA,"Appartement - 3 pièces, 28m2",03939 jours,,4465
319 000€,04/12,2,30,paris,19eme ardsmnt,Rue de nantes                        ,"Appartement - 2 pièces, 30m2",01515 jours,,10634
168 000€,04/12,1,15,paris,18eme ardsmnt,La chapelle,"Appartement - studio, 15m2",02222 jours,-004-4.00%,11200
259 000€,05/12,1,28,paris,18eme ardsmnt,NA,"Appartement - studio, 28m2",02525 jours,,9250
250 000€,05/12,2,31,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 31m2",0aujourd'hui,,8065
250 000€,22/11,2,31,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 31m2",09494 jours,"-009,09-9.09%",8065
250 000€,22/11,2,32,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 32m2",248248 jours,"-024,24-24.24%",7813
250 000€,30/11,2,31,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 31m2",02323 jours,,8065
295 000€,04/12,2,44,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 44m2",223223 jours,,6705
358 000€,01/12,2,30,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 30m2",01616 jours,,11934
380 000€,20/11,2,35,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",04141 jours,,10858
263 000€,04/12,1,30,paris,12eme ardsmnt,Rue du rendez-vous                   ,"Appartement - studio, 30m2",0099 jours,,8767
263 000€,17/11,1,30,paris,12eme ardsmnt,Rue du rendez-vous                   ,"Appartement - studio, 30m2",03030 jours,,8767
263 000€,23/11,1,30,paris,12eme ardsmnt,Rue du rendez-vous                   ,"Appartement - studio, 30m2",02929 jours,,8767
194 000€,05/12,1,11,paris,15eme ardsmnt,Rue de lourmel                       ,"Appartement - studio, 11m2",02323 jours,,17637
265 000€,05/12,1,30,paris,4eme ardsmnt,Bastille,"Appartement - studio, 30m2",02424 jours,,8834
190 000€,01/12,2,16,paris,16eme ardsmnt,Rue pergolèse                       ,"Appartement - 2 pièces, 16m2",02323 jours,,11875
045 000€,30/11,NA,6,paris,10eme ardsmnt,NA,"Appartement, 6m2",173173 jours,"-027,42-27.42%",7500
255 000€,20/11,2,28,paris,10eme ardsmnt,Hopital saint louis,"Appartement - 2 pièces, 28m2",02323 jours,,9108
053 000€,04/12,1,6,paris,9eme ardsmnt,NA,"Appartement - studio, 6m2",341341 jours,"-016,54-16.54%",8834
390 000€,05/12,2,35,paris,9eme ardsmnt,NA,"Appartement - 2 pièces, 35m2",02525 jours,,11143
305 000€,23/11,2,37,paris,17eme ardsmnt,Boulevard bessières                 ,"Appartement - 2 pièces, 37m2",03434 jours,,8244
305 000€,03/12,2,28,paris,17eme ardsmnt,Avenue de villiers                   ,"Appartement - 2 pièces, 28m2",0077 jours,,10893
170 000€,04/12,1,20,paris,19eme ardsmnt,NA,"Appartement - studio, 20m2",03030 jours,,8500
170 000€,04/12,1,20,paris,19eme ardsmnt,NA,"Appartement - studio, 20m2",02020 jours,,8500
284 000€,20/11,2,40,paris,18eme ardsmnt,NA,"Appartement - 2 pièces, 40m2",127127 jours,,7100
335 000€,29/11,3,42,paris,14eme ardsmnt,Plaisance,"Appartement - 3 pièces, 42m2",145145 jours,,7977
246 000€,04/12,1,21,paris,15eme ardsmnt,Rue de lourmel                       ,"Appartement - studio, 21m2",02020 jours,,11715
381 000€,03/12,2,32,paris,15eme ardsmnt,Rue du théâtre                     ,"Appartement - 2 pièces, 32m2",0033 jours,,11907
245 000€,01/12,1,29,paris,17eme ardsmnt,NA,"Appartement - studio, 29m2",07676 jours,"-005,04-5.04%",8449
165 000€,04/12,1,15,paris,18eme ardsmnt,NA,"Appartement - studio, 15m2",04646 jours,,11000
288 000€,04/12,2,22,paris,15eme ardsmnt,Avenue félix faure                  ,"Appartement - 2 pièces, 22m2",05252 jours,"-003,03-3.03%",13091
318 000€,05/12,2,32,paris,11eme ardsmnt,NA,"Appartement - 2 pièces, 32m2",01515 jours,,9938
192 000€,05/12,1,11,paris,17eme ardsmnt,Rue de courcelles                    ,"Appartement - studio, 11m2",0022 jours,,17455
292 000€,05/12,1,17,paris,17eme ardsmnt,Rue nollet                           ,"Appartement - studio, 17m2",03636 jours,"-002,34-2.34%",17177
397 500€,27/11,3,30,paris,17eme ardsmnt,Villa laugier                        ,"Appartement - 3 pièces, 30m2",06262 jours,,13250
123 000€,05/12,1,13,paris,18eme ardsmnt,Rue doudeauville                     ,"Appartement - studio, 13m2",02121 jours,,9462
123 000€,03/12,1,13,paris,18eme ardsmnt,Rue doudeauville                     ,"Appartement - studio, 13m2",03434 jours,"-001,6-1.60%",9462
214 000€,05/12,1,16,paris,18eme ardsmnt,NA,"Appartement - studio, 16m2",001hier,,13375
214 000€,03/12,1,16,paris,18eme ardsmnt,NA,"Appartement - studio, 16m2",07070 jours,,13375
297 000€,02/12,2,26,paris,18eme ardsmnt,NA,"Appartement - 2 pièces, 26m2",0055 jours,,11424
320 000€,25/11,2,32,paris,10eme ardsmnt,NA,"Appartement - 2 pièces, 32m2",04242 jours,,10000
275 000€,01/12,1,30,paris,17eme ardsmnt,NA,"Appartement - studio, 30m2",06767 jours,,9167
275 000€,02/12,1,30,paris,17eme ardsmnt,NA,"Appartement - studio, 30m2",130130 jours,,9167
300 000€,22/11,1,15,paris,17eme ardsmnt,NA,"Appartement - studio, 15m2",01515 jours,,20000
