prix,vue.le,piec.,m2,ville,arrondissement,rue,titre,depuis,évol.,prix.m2
03 545€,05/12,6,137,paris,5eme ardsmnt,NA,"Appartement - 6 pièces, 137m2",05858 jours,"-004,32-4.32%",26
03 550€,20/11,3,85,paris,1er ardsmnt,NA,"Appartement - 3 pièces, 85m2",06363 jours,"-005,33-5.33%",42
03 585€,03/12,5,138,paris,8eme ardsmnt,NA,"Appartement - 5 pièces, 138m2",132132 jours,"-005,28-5.28%",26
03 600€,17/11,3,70,paris,16eme ardsmnt,Rue de la faisanderie                ,"Appartement - 3 pièces, 70m2",02828 jours,,52
03 600€,16/11,4,103,paris,16eme ardsmnt,Avenue foch                          ,"Appartement - 4 pièces, 103m2",128128 jours,,35
03 604€,23/11,4,98,paris,9eme ardsmnt,Place edouard vii                    ,"Appartement - 4 pièces, 98m2",03434 jours,,37
03 635€,01/12,4,120,paris,3eme ardsmnt,Rue de turenne                       ,"Appartement - 4 pièces, 120m2",06868 jours,"-004,34-4.34%",31
03 670€,03/12,6,127,paris,16eme ardsmnt,NA,"Appartement - 6 pièces, 127m2",02121 jours,,29
03 700€,29/11,3,100,paris,3eme ardsmnt,Rue des archives                     ,"Appartement - 3 pièces, 100m2",04141 jours,,37
03 700€,17/11,3,120,paris,8eme ardsmnt,Boulevard haussmann                  ,"Appartement - 3 pièces, 120m2",09191 jours,,31
03 700€,20/11,5,137,paris,11eme ardsmnt,Rue de charonne                      ,"Appartement - 5 pièces, 137m2",02828 jours,,28
03 719€,27/11,4,132,paris,5eme ardsmnt,Boulevard saint-germain              ,"Appartement - 4 pièces, 132m2",08585 jours,,29
03 730€,04/12,5,128,paris,16eme ardsmnt,Rue d'auteuil                        ,"Appartement - 5 pièces, 128m2",0022 jours,,30
03 750€,03/12,5,140,paris,17eme ardsmnt,Avenue de villiers                   ,"Appartement - 5 pièces, 140m2",03636 jours,,27
03 800€,22/11,3,96,paris,3eme ardsmnt,NA,"Appartement - 3 pièces, 96m2",01515 jours,,40
03 800€,03/12,5,138,paris,9eme ardsmnt,Rue thimonnier                       ,"Appartement - 5 pièces, 138m2",03434 jours,,28
03 820€,04/12,5,141,paris,15eme ardsmnt,NA,"Appartement - 5 pièces, 141m2",0022 jours,,28
03 821€,17/11,5,127,paris,2eme ardsmnt,NA,"Appartement - 5 pièces, 127m2",02323 jours,,31
03 835€,04/12,3,98,paris,2eme ardsmnt,Montorgueil,"Appartement - 3 pièces, 98m2",02323 jours,,40
03 900€,29/11,3,96,paris,3eme ardsmnt,Rue pastourelle                      ,"Appartement - 3 pièces, 96m2",02929 jours,"-007,14-7.14%",41
03 900€,17/11,4,89,paris,5eme ardsmnt,Rue soufflot                         ,"Appartement - 4 pièces, 89m2",02323 jours,,44
03 950€,04/12,5,137,paris,7eme ardsmnt,NA,"Appartement - 5 pièces, 137m2",0022 jours,"-009,2-9.20%",29
03 951€,04/12,5,147,paris,9eme ardsmnt,Rue de calais                        ,"Appartement - 5 pièces, 147m2",0022 jours,,27
03 953€,03/12,4,115,paris,6eme ardsmnt,NA,"Appartement - 4 pièces, 115m2",03535 jours,,35
03 970€,04/12,4,127,paris,16eme ardsmnt,Boulevard de montmorency             ,"Appartement - 4 pièces, 127m2",0022 jours,"-009,57-9.57%",32
03 977€,29/11,4,80,paris,4eme ardsmnt,NA,"Appartement - 4 pièces, 80m2",123123 jours,,50
03 990€,01/12,6,147,paris,5eme ardsmnt,Jussieu,"Appartement - 6 pièces, 147m2",05858 jours,"-003,83-3.83%",28
03 990€,03/12,6,147,paris,5eme ardsmnt,NA,"Appartement - 6 pièces, 147m2",0088 jours,,28
03 990€,03/12,6,128,paris,16eme ardsmnt,Rue de la faisanderie                ,"Appartement - 6 pièces, 128m2",09292 jours,,32
04 000€,17/11,4,109,paris,16eme ardsmnt,Rue mesnil                           ,"Appartement - 4 pièces, 109m2",06868 jours,,37
04 000€,04/12,5,122,paris,16eme ardsmnt,Boulevard suchet                     ,"Appartement - 5 pièces, 122m2",0022 jours,"-008,05-8.05%",33
04 000€,03/12,6,125,paris,16eme ardsmnt,Rue georges ville                    ,"Appartement - 6 pièces, 125m2",08181 jours,,32
04 050€,26/11,4,103,paris,1er ardsmnt,NA,"Appartement - 4 pièces, 103m2",02525 jours,,40
04 082€,03/12,6,146,paris,5eme ardsmnt,NA,"Appartement - 6 pièces, 146m2",0088 jours,,28
04 100€,29/11,3,100,paris,3eme ardsmnt,NA,"Appartement - 3 pièces, 100m2",09292 jours,"-002,38-2.38%",41
04 100€,03/12,5,135,paris,9eme ardsmnt,Rue de provence                      ,"Appartement - 5 pièces, 135m2",04242 jours,,31
04 160€,22/11,4,127,paris,16eme ardsmnt,NA,"Appartement - 4 pièces, 127m2",109109 jours,,33
04 200€,03/12,5,130,paris,5eme ardsmnt,NA,"Appartement - 5 pièces, 130m2",04545 jours,,33
04 200€,22/11,4,96,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 96m2",02020 jours,,44
04 200€,17/11,4,100,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 100m2",02020 jours,,42
04 250€,01/12,1,100,paris,3eme ardsmnt,NA,"Appartement - studio, 100m2",04343 jours,,43
04 300€,22/11,1,108,paris,7eme ardsmnt,NA,"Appartement - studio, 108m2",08080 jours,"-004,44-4.44%",40
04 300€,02/12,4,129,paris,9eme ardsmnt,NA,"Appartement - 4 pièces, 129m2",07676 jours,,34
04 300€,03/12,6,134,paris,14eme ardsmnt,Denfert-rochereau,"Appartement - 6 pièces, 134m2",03737 jours,,33
04 320€,20/11,4,130,paris,3eme ardsmnt,Rue du parc royal                    ,"Appartement - 4 pièces, 130m2",133133 jours,,34
04 360€,29/11,4,108,paris,3eme ardsmnt,Place des vosges                     ,"Appartement - 4 pièces, 108m2",09292 jours,"-001,8-1.80%",41
04 400€,03/12,5,120,paris,7eme ardsmnt,NA,"Appartement - 5 pièces, 120m2",04141 jours,,37
04 400€,04/12,5,140,paris,7eme ardsmnt,Place de breteuil                    ,"Appartement - 5 pièces, 140m2",0022 jours,,32
04 402€,03/12,5,124,paris,6eme ardsmnt,NA,"Appartement - 5 pièces, 124m2",04545 jours,,36
04 435€,05/12,3,134,paris,16eme ardsmnt,Avenue foch                          ,"Appartement - 3 pièces, 134m2",155155 jours,,34
04 495€,03/12,5,145,paris,4eme ardsmnt,Rue des lions saint-paul             ,"Appartement - 5 pièces, 145m2",06868 jours,"-006,35-6.35%",31
04 496€,26/11,4,129,paris,2eme ardsmnt,NA,"Appartement - 4 pièces, 129m2",02323 jours,,35
04 500€,05/12,4,170,paris,5eme ardsmnt,NA,"Appartement - 4 pièces, 170m2",201201 jours,"-006,25-6.25%",27
04 500€,22/11,3,75,paris,8eme ardsmnt,Rue du boccador                      ,"Appartement - 3 pièces, 75m2",104104 jours,012.50(+12.50%),60
04 500€,20/11,4,130,paris,11eme ardsmnt,Boulevard voltaire                   ,"Appartement - 4 pièces, 130m2",02828 jours,,35
04 500€,19/11,5,112,paris,17eme ardsmnt,NA,"Appartement - 5 pièces, 112m2",08888 jours,012.50(+12.50%),41
04 500€,04/12,5,138,paris,17eme ardsmnt,Boulevard pereire                    ,"Appartement - 5 pièces, 138m2",0022 jours,,33
04 500€,04/12,5,144,paris,17eme ardsmnt,NA,"Appartement - 5 pièces, 144m2",0022 jours,,32
04 500€,03/12,6,150,paris,17eme ardsmnt,NA,"Appartement - 6 pièces, 150m2",09292 jours,012.50(+12.50%),30
04 600€,01/12,6,157,paris,8eme ardsmnt,NA,"Appartement - 6 pièces, 157m2",01313 jours,"-007,26-7.26%",30
04 605€,19/11,4,134,paris,16eme ardsmnt,NA,"Appartement - 4 pièces, 134m2",02525 jours,,35
04 620€,30/11,5,170,paris,9eme ardsmnt,NA,"Appartement - 5 pièces, 170m2",07474 jours,,28
04 620€,30/11,5,170,paris,10eme ardsmnt,NA,"Appartement - 5 pièces, 170m2",08585 jours,,28
04 739€,20/11,2,100,paris,2eme ardsmnt,Rue montorgueil                      ,"Appartement - 2 pièces, 100m2",08080 jours,,48
04 750€,30/11,5,163,paris,16eme ardsmnt,Rue de passy                         ,"Appartement - 5 pièces, 163m2",03333 jours,"-015,34-15.34%",30
04 800€,22/11,5,142,paris,8eme ardsmnt,Avenue montaigne                     ,"Appartement - 5 pièces, 142m2",09191 jours,,34
04 825€,20/11,3,137,paris,4eme ardsmnt,NA,"Appartement - 3 pièces, 137m2",115115 jours,"-003,02-3.02%",36
04 900€,29/11,3,136,paris,3eme ardsmnt,Rue de turbigo                       ,"Appartement - 3 pièces, 136m2",133133 jours,"-005,77-5.77%",37
04 900€,29/11,4,117,paris,11eme ardsmnt,NA,"Appartement - 4 pièces, 117m2",03434 jours,,42
04 980€,30/11,5,158,paris,9eme ardsmnt,NA,"Appartement - 5 pièces, 158m2",04141 jours,,32
05 000€,20/11,3,130,paris,6eme ardsmnt,NA,"Appartement - 3 pièces, 130m2",01616 jours,,39
05 000€,19/11,4,110,paris,6eme ardsmnt,Rue corneille                        ,"Appartement - 4 pièces, 110m2",07676 jours,,46
05 000€,29/11,2,66,paris,8eme ardsmnt,NA,"Appartement - 2 pièces, 66m2",08282 jours,011.11(+11.11%),76
05 000€,01/12,7,200,paris,15eme ardsmnt,Villa santos-dumont                  ,"Appartement - 7 pièces, 200m2",265265 jours,"-009,09-9.09%",25
05 120€,27/11,5,158,paris,8eme ardsmnt,NA,"Appartement - 5 pièces, 158m2",02121 jours,,33
05 134€,01/12,6,201,paris,17eme ardsmnt,NA,"Appartement - 6 pièces, 201m2",06868 jours,,26
05 158€,28/11,7,193,paris,5eme ardsmnt,Rue claude bernard                   ,"Appartement - 7 pièces, 193m2",0088 jours,,27
05 200€,02/12,4,124,paris,16eme ardsmnt,Rue lauriston                        ,"Appartement - 4 pièces, 124m2",05151 jours,,42
05 215€,16/11,5,166,paris,16eme ardsmnt,Muette,"Appartement - 5 pièces, 166m2",03636 jours,"-011,02-11.02%",32
05 300€,03/12,3,95,paris,5eme ardsmnt,NA,"Appartement - 3 pièces, 95m2",02323 jours,,56
05 337€,01/12,6,214,paris,15eme ardsmnt,NA,"Appartement - 6 pièces, 214m2",09494 jours,,25
05 346€,02/12,6,178,paris,8eme ardsmnt,NA,"Appartement - 6 pièces, 178m2",03737 jours,,31
05 350€,29/11,6,152,paris,12eme ardsmnt,NA,"Appartement - 6 pièces, 152m2",07878 jours,"-002,73-2.73%",36
05 400€,30/11,6,150,paris,9eme ardsmnt,Rue de clichy                        ,"Appartement - 6 pièces, 150m2",01717 jours,"-006,9-6.90%",36
05 503€,01/12,7,245,paris,16eme ardsmnt,NA,"Appartement - 7 pièces, 245m2",02121 jours,,23
05 700€,16/11,6,175,paris,16eme ardsmnt,Boulevard lannes                     ,"Appartement - 6 pièces, 175m2",03434 jours,"-008,06-8.06%",33
05 900€,05/12,4,140,paris,17eme ardsmnt,Place des ternes                     ,"Appartement - 4 pièces, 140m2",06565 jours,"-004,84-4.84%",43
06 000€,22/11,4,140,paris,8eme ardsmnt,NA,"Appartement - 4 pièces, 140m2",289289 jours,020.00(+20.00%),43
06 000€,16/11,5,161,paris,15eme ardsmnt,NA,"Appartement - 5 pièces, 161m2",02020 jours,,38
06 360€,02/12,8,285,paris,16eme ardsmnt,Avenue victor hugo                   ,"Appartement - 8 pièces, 285m2",0044 jours,"-011,79-11.79%",23
06 500€,23/11,6,125,paris,6eme ardsmnt,NA,"Appartement - 6 pièces, 125m2",08383 jours,,52
06 500€,05/12,6,172,paris,15eme ardsmnt,Avenue de la motte-picquet           ,"Appartement - 6 pièces, 172m2",132132 jours,,38
06 500€,04/12,4,142,paris,16eme ardsmnt,Rue raynouard                        ,"Appartement - 4 pièces, 142m2",0033 jours,,46
06 700€,16/11,5,200,paris,16eme ardsmnt,NA,"Appartement - 5 pièces, 200m2",306306 jours,,34
06 900€,02/12,7,290,paris,16eme ardsmnt,NA,"Appartement - 7 pièces, 290m2",0044 jours,,24
06 950€,04/12,5,143,paris,7eme ardsmnt,Rue cler                             ,"Appartement - 5 pièces, 143m2",09090 jours,"-005,7-5.70%",49
07 000€,18/11,7,226,paris,16eme ardsmnt,Rue spontini                         ,"Appartement - 7 pièces, 226m2",02121 jours,,31
07 104€,23/11,4,222,paris,16eme ardsmnt,Rue de chaillot                      ,"Appartement - 4 pièces, 222m2",01414 jours,"-013,41-13.41%",32
07 108€,19/11,7,312,paris,16eme ardsmnt,NA,"Appartement - 7 pièces, 312m2",01717 jours,,23
07 500€,22/11,3,137,paris,8eme ardsmnt,Rue arsène houssaye                 ,"Appartement - 3 pièces, 137m2",129129 jours,,55
07 500€,22/11,4,150,paris,15eme ardsmnt,NA,"Appartement - 4 pièces, 150m2",07373 jours,,50
07 500€,16/11,6,200,paris,16eme ardsmnt,Place de mexico                      ,"Appartement - 6 pièces, 200m2",03636 jours,,38
07 500€,27/11,7,226,paris,16eme ardsmnt,Rue spontini                         ,"Appartement - 7 pièces, 226m2",02121 jours,,34
07 540€,01/12,5,252,paris,8eme ardsmnt,NA,"Appartement - 5 pièces, 252m2",02121 jours,,30
07 724€,21/11,6,207,paris,16eme ardsmnt,Rue de chaillot                      ,"Appartement - 6 pièces, 207m2",02121 jours,,38
07 724€,21/11,6,207,paris,16eme ardsmnt,Chaillot,"Appartement - 6 pièces, 207m2",02121 jours,,38
07 880€,05/12,5,262,paris,16eme ardsmnt,NA,"Appartement - 5 pièces, 262m2",08585 jours,,31
07 880€,01/12,5,262,paris,16eme ardsmnt,Place victor hugo                    ,"Appartement - 5 pièces, 262m2",01414 jours,,31
07 960€,21/11,8,237,paris,17eme ardsmnt,Rue de courcelles                    ,"Appartement - 8 pièces, 237m2",03636 jours,,34
08 000€,23/11,7,197,paris,1er ardsmnt,Place de la concorde                 ,"Appartement - 7 pièces, 197m2",01717 jours,,41
08 000€,22/11,4,146,paris,8eme ardsmnt,NA,"Appartement - 4 pièces, 146m2",129129 jours,,55
08 000€,29/11,6,205,paris,8eme ardsmnt,NA,"Appartement - 6 pièces, 205m2",01414 jours,"-004,19-4.19%",40
08 068€,21/11,9,300,paris,16eme ardsmnt,NA,"Appartement - 9 pièces, 300m2",01717 jours,,27
08 204€,21/11,5,222,paris,16eme ardsmnt,Rue de chaillot                      ,"Appartement - 5 pièces, 222m2",02121 jours,,37
08 204€,21/11,5,222,paris,16eme ardsmnt,Chaillot,"Appartement - 5 pièces, 222m2",02121 jours,,37
08 204€,21/11,6,220,paris,16eme ardsmnt,NA,"Appartement - 6 pièces, 220m2",02121 jours,,38
08 204€,21/11,6,222,paris,16eme ardsmnt,NA,"Appartement - 6 pièces, 222m2",02121 jours,,37
08 500€,21/11,4,142,paris,7eme ardsmnt,Rue de bourgogne                     ,"Appartement - 4 pièces, 142m2",03030 jours,"-010,53-10.53%",60
08 700€,05/12,5,170,paris,3eme ardsmnt,NA,"Appartement - 5 pièces, 170m2",0066 jours,"-003,33-3.33%",52
08 770€,22/11,4,128,paris,8eme ardsmnt,Rue la boétie                       ,"Appartement - 4 pièces, 128m2",07474 jours,,69
09 800€,28/11,4,225,paris,7eme ardsmnt,NA,"Appartement - 4 pièces, 225m2",03030 jours,,44
09 800€,21/11,7,250,paris,7eme ardsmnt,NA,"Appartement - 7 pièces, 250m2",132132 jours,010.11(+10.11%),40
015 000€,04/12,2,43,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 43m2",07878 jours,,349
017 000€,04/12,2,9,paris,13eme ardsmnt,NA,"Appartement - 2 pièces, 9m2",06363 jours,"-094,99-94.99%",1889
019 300€,01/12,8,1157,paris,12eme ardsmnt,NA,"Appartement - 8 pièces, 1157m2",116116 jours,,17
019 500€,22/11,1,12,paris,12eme ardsmnt,Avenue daumesnil                     ,"Appartement - studio, 12m2",356356 jours,,1625
011 500€,23/11,4,230,paris,4eme ardsmnt,NA,"Appartement - 4 pièces, 230m2",02929 jours,,50
010 000€,23/11,6,176,paris,7eme ardsmnt,NA,"Appartement - 6 pièces, 176m2",453453 jours,,57
016 100€,23/11,5,210,paris,7eme ardsmnt,NA,"Appartement - 5 pièces, 210m2",128128 jours,,77
010 000€,21/11,5,230,paris,16eme ardsmnt,NA,"Appartement - 5 pièces, 230m2",04646 jours,,44
011 000€,23/11,8,220,paris,16eme ardsmnt,NA,"Appartement - 8 pièces, 220m2",183183 jours,,50
012 600€,23/11,4,200,paris,16eme ardsmnt,Rue de l'yvette                      ,"Appartement - 4 pièces, 200m2",04646 jours,,63
012 950€,01/12,7,415,paris,16eme ardsmnt,Boulevard lannes                     ,"Appartement - 7 pièces, 415m2",06565 jours,,32
015 200€,23/11,7,295,paris,16eme ardsmnt,NA,"Appartement - 7 pièces, 295m2",02727 jours,,52
010 500€,02/12,7,300,paris,8eme ardsmnt,NA,"Appartement - 7 pièces, 300m2",02727 jours,,35
011 000€,01/12,7,410,paris,8eme ardsmnt,Place de l'alma                      ,"Appartement - 7 pièces, 410m2",06161 jours,,27
015 000€,23/11,4,164,paris,8eme ardsmnt,Avenue montaigne                     ,"Appartement - 4 pièces, 164m2",02727 jours,,92
018 000€,21/11,1,60,paris,9eme ardsmnt,Rue de provence                      ,"Appartement - studio, 60m2",08686 jours,,300
028 200€,01/12,10,1692,paris,12eme ardsmnt,NA,"Appartement - 10 pièces, 1692m2",123123 jours,,17
025 000€,05/12,1,7,paris,11eme ardsmnt,Place de la nation                   ,"Appartement - studio, 7m2",0aujourd'hui,,3572
025 000€,01/12,1,NA,paris,11eme ardsmnt,NA,Appartement - studio,04242 jours,,NA
020 000€,23/11,8,380,paris,16eme ardsmnt,NA,"Appartement - 8 pièces, 380m2",08080 jours,,53
020 000€,03/12,2,19,paris,20eme ardsmnt,NA,"Appartement - 2 pièces, 19m2",05757 jours,,1053
026 000€,21/11,NA,4,paris,10eme ardsmnt,NA,"Appartement, 4m2",04444 jours,"-007,14-7.14%",6500
026 000€,21/11,1,NA,paris,10eme ardsmnt,Boulevard de strasbourg              ,Appartement - studio,04545 jours,"-007,14-7.14%",NA
026 000€,30/11,NA,11,paris,17eme ardsmnt,Villa compoint                       ,"Appartement, 11m2",393393 jours,,2364
038 900€,05/12,1,33,paris,15eme ardsmnt,NA,"Appartement - studio, 33m2",001hier,,1179
030 000€,30/11,NA,9,paris,11eme ardsmnt,Place de la nation                   ,"Appartement, 9m2",04343 jours,,3334
030 000€,28/11,1,10,paris,11eme ardsmnt,Rue de montreuil                     ,"Appartement - studio, 10m2",01212 jours,,3000
035 000€,03/12,1,NA,paris,11eme ardsmnt,Saint ambroise,Appartement - studio,180180 jours,,NA
034 000€,05/12,2,20,paris,16eme ardsmnt,NA,"Appartement - 2 pièces, 20m2",191191 jours,,1700
039 500€,29/11,NA,3,paris,16eme ardsmnt,NA,"Appartement, 3m2",196196 jours,,13167
036 000€,29/11,NA,NA,paris,3eme ardsmnt,NA,Appartement,154154 jours,"-007,69-7.69%",NA
034 000€,05/12,2,20,paris,1er ardsmnt,NA,"Appartement - 2 pièces, 20m2",191191 jours,,1700
036 000€,26/11,1,NA,paris,1er ardsmnt,NA,Appartement - studio,147147 jours,,NA
034 000€,05/12,1,NA,paris,2eme ardsmnt,Rue blondel                          ,Appartement - studio,191191 jours,"-022,73-22.73%",NA
038 360€,03/12,1,NA,paris,10eme ardsmnt,Place de la république              ,Appartement - studio,07878 jours,"-012,5-12.50%",NA
038 000€,05/12,1,NA,paris,9eme ardsmnt,NA,Appartement - studio,212212 jours,,NA
039 000€,03/12,1,NA,paris,9eme ardsmnt,Rue notre-dame de lorette            ,Appartement - studio,02222 jours,,NA
039 500€,21/11,NA,6,paris,17eme ardsmnt,NA,"Appartement, 6m2",01616 jours,,6584
039 500€,21/11,1,NA,paris,17eme ardsmnt,NA,Appartement - studio,02929 jours,,NA
039 500€,21/11,NA,6,paris,17eme ardsmnt,NA,"Appartement, 6m2",04444 jours,"-012,22-12.22%",6584
039 500€,21/11,1,NA,paris,17eme ardsmnt,NA,Appartement - studio,02727 jours,,NA
033 000€,02/12,1,24,paris,18eme ardsmnt,NA,"Appartement - studio, 24m2",107107 jours,"-005,71-5.71%",1375
039 000€,04/12,1,38,paris,18eme ardsmnt,Jules joffrin,"Appartement - studio, 38m2",03030 jours,,1027
045 000€,30/11,NA,6,paris,10eme ardsmnt,NA,"Appartement, 6m2",173173 jours,-027.42-27.42%,7500
047 200€,04/12,1,41,paris,12eme ardsmnt,Rue théophile roussel               ,"Appartement - studio, 41m2",04343 jours,,1152
043 000€,05/12,1,NA,paris,16eme ardsmnt,Rue poussin                          ,Appartement - studio,293293 jours,,NA
045 000€,03/12,1,NA,paris,1er ardsmnt,Galerie véro-dodat                  ,Appartement - studio,03535 jours,-010-10.00%,NA
049 000€,30/11,NA,5,paris,2eme ardsmnt,NA,"Appartement, 5m2",146146 jours,"-037,97-37.97%",9800
044 000€,19/11,1,NA,paris,8eme ardsmnt,NA,Appartement - studio,02525 jours,,NA
