GEOMETRY_ID;Type d'établissement;LIBELLE;ADRESSE;ARR_LIBELLE;ARR_INSEE;geo_shape;geo_point_2d
1934;3482;GEORGES MELIES;43 RUE DE TANGER;19ème Ardt;75119;"{""type"": ""Point"", ""coordinates"": [2.370361625375632, 48.88807096598043]}";48.888070966, 2.37036162538
1935;3482;GERARD PHILIPE;8 RUE DES AMIRAUX;18ème Ardt;75118;"{""type"": ""Point"", ""coordinates"": [2.351945405231183, 48.894458829739456]}";48.8944588297, 2.35194540523
1943;3482;FRANCOISE SELIGMANN;21 rue de SAMBRE-ET-MEUSE;10ème Ardt;75110;"{""type"": ""Point"", ""coordinates"": [2.371691240856296, 48.8748507980556]}";48.8748507981, 2.37169124086
1949;3482;JEAN FRANCOIS OEBEN;23 RUE DE REUILLY;12ème Ardt;75112;"{""type"": ""Point"", ""coordinates"": [2.386162996876621, 48.84830590939757]}";48.8483059094, 2.38616299688
1951;3482;MONTAIGNE;17 rue AUGUSTE COMTE;6ème Ardt;75106;"{""type"": ""Point"", ""coordinates"": [2.334832113538393, 48.84423739910644]}";48.8442373991, 2.33483211354
1962;3482;CONDORCET;61 RUE D' AMSTERDAM;8ème Ardt;75108;"{""type"": ""Point"", ""coordinates"": [2.326971628718676, 48.880978437004295]}";48.880978437, 2.32697162872
1983;3482;CLAUDE DEBUSSY;4 PLACE DU COMMERCE;15ème Ardt;75115;"{""type"": ""Point"", ""coordinates"": [2.291597647474012, 48.845291477336914]}";48.8452914773, 2.29159764747
1985;3482;EUGENE DELACROIX;13 rue EUGENE DELACROIX;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.277838764505605, 48.862606029080716]}";48.8626060291, 2.27783876451
1992;3482;GEORGE SAND;159 RUE DE TOLBIAC;13ème Ardt;75113;"{""type"": ""Point"", ""coordinates"": [2.355885229053301, 48.826013798821954]}";48.8260137988, 2.35588522905
1997;3482;JEAN DE LA FONTAINE;1 PLACE DE LA PORTE MOLITOR;16ème Ardt;75116;"{""type"": ""Point"", ""coordinates"": [2.256577695447958, 48.84519060438343]}";48.8451906044, 2.25657769545
2000;3482;LUCIE ET RAYMOND AUBRAC;62 RUE DE LA FONTAINE AU ROI;11ème Ardt;75111;"{""type"": ""Point"", ""coordinates"": [2.374321373911603, 48.86823414377606]}";48.8682341438, 2.37432137391
