"","name"
"216","Boulevard de la Villette"
"217","Rue du Javelot"
"218","Avenue Corentin Cariou"
"219","Rue Louis Armand"
"220","Sortie Porte de Montreuil"
"221","Boulevard Morland"
"222","Avenue du Château"
"223","Rue Maurice Bourdet"
"224","Avenue Madeleine Smith Champion"
"225","Rue Guy Môquet"
"226","Boulevard de la Tour Maubourg"
"227","Boulevard Arago"
"228","Chemin de Ceinture du Lac Inférieur"
"229","Boulevard Raspail"
"230","Rue de Reuilly"
"231","Rue Paul Klee"
"232","Rue Ordener"
"233","Rue des Saints-Pères"
"234","Boulevard de la Chapelle"
"235","Rue des Écluses Saint-Martin"
"236","Quai de Conti"
"237","Rue de Vaugirard"
"238","Rue Leredde"
"239","Rue Coriolis"
"240","Rue des Meuniers"
"241","Quai Branly"
"242","Quai de l'Archevêché"
"243","Rue de la Chapelle"
"244","Rue Proudhon"
"245","Rue Bruant"
"246","Rue du Congo"
"247","Avenue de la Porte d'Aubervilliers"
"248","Rue des Boulets"
"249","Rue Vaucanson"
"250","Quai François Mitterrand"
"251","Rue Elsa Morante"
"252","Quai d'Austerlitz"
"253","Avenue Paul Bert"
"254","Rue du Charolais"
"255","Pont de Bry"
"256","Rue Marguerite Duras"
"257","Rue de la Lancette"
"258","Rue Saint-Sabin"
"259","Quai de l'Hôtel de Ville"
"260","Place de la Concorde"
"261","Boulevard Edgar Quinet"
"262","Place Marcel Cerdan"
"263","Rue Jean Antoine de Baïf"
"264","Place du Châtelet"
"265","Rue du Bac"
"266","Rue Antoine Vollon"
"267","Boulevard Auguste Blanqui"
"268","Place de Clichy"
"269","Avenue Gambetta"
"270","Rue Théodore Hamont"
"271","Rue Condorcet"
"272","Rue de la Glacière"
"273","Square Pierre et Marie Curie"
"274","Rue des Frigos"
"275","Avenue Parmentier"
"276","Rue de Capri"
"277","Boulevard d'Alsace-Lorraine"
"278","Boulevard Poissonnière"
"279","Rue Cannebière"
"280","Avenue de Versailles"
"281","Rue de la Chaussée d'Antin"
"282","Rue Giffard"
"283","Route du Point du Jour à Suresnes"
"284","Bretelle de contournement de la place Valhubert"
"285","Rue Fabre d'Églantine"
"286","Rue des Rondeaux"
"287","Rue Hélène Brion"
"288","Rue de Mogador"
"289","Rue de Cambrai"
"290","Avenue de Madrid"
"291","Rue Tronchet"
"292","Place Maubert"
"293","Rue des Jardiniers"
"294","Avenue Aristide Briand"
"295","Place Jeanne d'Arc"
"296","Rue Saint-Honoré"
"297","Rue Bara"
"298","Boulevard du Maréchal Foch"
"299","Rue Saint-Sulpice"
"300","Passage Commun AS/13"
"301","Boulevard Saint-Denis"
"302","Rue Abel Gance"
"303","Place Jean-Paul Sartre et Simone de Beauvoir"
"304","Rue de Bercy"
"305","Rue Halévy"
"306","Avenue des Minimes"
"307","Boulevard de Bercy"
"308","Rue Raoul"
"309","Place de la Porte de Passy"
"310","Place Saint-Augustin"
"311","Rue Keller"
"312","Villa Auguste Blanqui"
"313","Boulevard Saint-Martin"
"314","Rue de la Clef"
"315","Rue Édouard Robert"
"316","Rue Curial"
"317","Boulevard Saint-Jacques"
"318","Boulevard de Vaugirard"
"319","Boulevard Pereire"
"320","Place Ferdinand Forest"
"321","Rue Oberkampf"
"322","Avenue du Maine"
"323","Rue Buffon"
"324","Rue de la Cité"
"325","Place de Belgique"
"326","Avenue Rapp"
"327","Cours des Maréchaux"
"328","Rue des Cadets de la France Libre"
"329","Avenue Audra"
"330","Place Valhubert"
"331","Quai de Jemmapes"
"332","Rue Ganneron"
"333","Rue de la Durance"
"334","Rue Censier"
"335","Rue des Monts Clairs"
"336","Rue Beaurepaire"
"337","Avenue Pierre Mendès France"
"338","Rue Raymond Aron"
"339","Avenue de France"
"340","Avenue Silvestre de Sacy"
"341","Rue René Goscinny"
"342","Quai de Gesvres"
"343","Pont Notre-Dame"
"344","Rue de Maubeuge"
"345","Rue du Commandant René Mouchotte"
"346","Quai des Grands Augustins"
"347","Boulevard du Montparnasse"
"348","Rue Condé sur Noireau"
"349","Rue Malar"
"350","Rue de Sèvres"
"351","Pont de Joinville"
"352","Rue Baron Le Roy"
"353","Quai des Célestins"
"354","Boulevard de Valmy"
"355","Rue François Truffaut"
"356","Rue de Reims"
"357","Rue du 8 Mai 1945"
"358","Rue Corbineau"
"359","Avenue de Saxe"
"360","Rue Émile Durkheim"
"361","Avenue du Général Laperrine"
"362","Rue Saint-Denis"
"363","Rue du Port"
"364","Quai de Grenelle"
"365","Quai du Port"
"366","Rue de Chablis"
"367","Avenue du Bel Air"
"368","Rue Bonaparte"
"369","Quai Malaquais"
"370","Place des Martyrs Juifs du Vélodrome"
"371","Rue de Fécamp"
"372","Boulevard Edgar-Quinet"
"373","Rue Lamblardie"
"374","Rue du Sahel"
"375","Pont Eugène Varlin"
"376","Petit-Pont"
"377","Rue du Vieux Colombier"
"378","Rue de Madagascar"
"379","Quai de la Gare"
"380","Rue de la Gaîté"
"381","Rue Bobillot"
"382","Place de la Porte d'Auteuil"
"383","Boulevard de Sébastopol"
"384","Boulevard Haussmann"
"385","Quai d'Orsay"
"386","Quai de Montebello"
"387","Boulevard de Strasbourg"
"388","Rue Fernand Braudel"
"389","Rue de Gravelle"
"390","Avenue Émile Acollas"
"391","Avenue Victor Hugo"
"392","Rue aux Ours"
"393","Rue Thomas Mann"
"394","Rue Abel"
"395","Quai de la Rapée"
"396","Rue de la Roquette"
"397","Avenue de Saint-Mandé"
"398","Avenue de Bouvines"
"399","Passage Thiéré"
"400","Rue Regnault"
"401","Quai Anatole France"
"402","Rue des Taillandiers"
"403","Avenue Ledru-Rollin"
"404","Rue Nicolas Houël"
"405","Place Denfert-Rochereau"
"406","Rue Gerty Archimède"
"407","Rue Nicolaï"
"408","Boulevard de Reuilly"
"409","Passage des Crayons"
"410","Avenue du Président Nelson Mandela"
"411","Rue de Verdun"
"412","Halle Freyssinet"
"413","Rue George Balanchine"
"414","Rue Joseph Kessel"
"415","Avenue du Maréchal Galliéni"
"416","Quai Saint-Michel"
"417","Rue Jules Pichard"
"418","Rue Baudoin"
"419","Place de la Porte de Bagnolet"
"420","Rue Scribe"
"421","Boulevard de Picpus"
"422","Square Desaix"
"423","Rue Duchefdelaville"
"424","Rue Brancion"
"425","Rue Résal"
"426","Rue Primo Levi"
"427","Rue du Midi"
"428","Rue Saint-Martin"
"429","Rue Friant"
"430","Rue de la Légion Étrangère"
"431","Boulevard Romain Rolland"
"432","Avenue Henri Ginoux"
"433","Avenue Ernest Reyer"
"434","Avenue Pasteur"
"435","Avenue Vladimir Ilitch Lénine"
"436","Rue d'Alésia"
"437","Rue George Bernard Shaw"
"438","Rue Daniel Stern"
"439","Boulevard Garibaldi"
"440","Rue du Cotentin"
"441","Boulevard Pasteur"
"442","Place Raoul Dautry"
"443","Rue Jean Zay"
"444","Rue Vercingétorix"
"445","Rue Alain"
"446","Pont Alexandre III"
"447","Pont de la Concorde"
"448","Passerelle Léopold-Sédar-Senghor"
"449","Pont de l'Archevêché"
"450","Pont Charles de Gaulle"
"451","Pont de Tolbiac"
"452","L'Aquitaine"
"453","Rue Rubens"
"454","Rue du Banquier"
"455","Rue Watteau"
"456","Rue de la Reine Blanche"
"457","Rue Michel Peter"
"458","Rue Nicolas Roret"
"459","Rue Le Brun"
"460","Rue Geoffroy Saint-Hilaire"
"461","Rue de l'Essai"
"462","Rue Duméril"
"463","Rue Pirandello"
"464","Rue du Jura"
"465","Rue Oudry"
"466","Rue René Panhard"
"467","Rue Jules Breton"
"468","Avenue de la Sœur Rosalie"
"469","Rue Véronèse"
"470","Rue des Reculettes"
"471","Rue de Croulebarbe"
"472","Rue Émile Deslandres"
"473","Rue des Marmousets"
"474","Rue des Gobelins"
"475","Rue Edmond Gondinet"
"476","Rue Toussaint-Féron"
"477","Rue des Deux Avenues"
"478","Boulevard Saint-Marcel"
"479","Rue de la Collégiale"
"480","Rue du Petit Moine"
"481","Rue Vésale"
"482","Rue Scipion"
"483","Rue du Moulin-des-Prés"
"484","Rue du Moulinet"
"485","Rue du Père Guérin"
"486","Rue Paulin Méry"
"487","Passage du Moulin des Prés"
"488","Rue Gérard"
"489","Rue Jean-Marie Jégo"
"490","Rue Simonet"
"491","Place Paul Verlaine"
"492","Place Claude Bourdet"
"493","Rue Paul Gervais"
"494","Rue Corvisart"
"495","Rue Saint-Hippolyte"
"496","Boulevard de Port-Royal"
"497","Rue Daubenton"
"498","Rue Larrey"
"499","Rue Dolomieu"
"500","Place du Puits de l'Ermite"
"501","Rue Santeuil"
"502","Rue de Presbourg"
"503","Avenue des Portugais"
"504","Rue Newton"
"505","Rue Auguste Vacquerie"
"506","Avenue Niel"
"507","Place des Ternes"
"508","Avenue des Ternes"
"509","Rue Beaujon"
"510","Avenue Bertie Albrecht"
"511","Rue Arsène Houssaye"
"512","Rue Dorian"
"513","Rue Pierre Bourdan"
"514","Rue Jaucourt"
"515","Place de la Nation"
"516","Rue du Poteau"
"517","Rue Sainte-Isaure"
"518","Rue du Cloître Notre-Dame"
"519","Avenue René Coty"
"520","Rue Émile Deutsch de la Meurthe"
"521","Rue Gozlin"
"522","Rue des Ciseaux"
"523","Rue des Canettes"
"524","Rue Guisarde"
"525","Rue Princesse"
"526","Rue Mabillon"
"527","Rue Clément"
"528","Rue Lobineau"
"529","Rue Honoré Chevalier"
"530","Rue de Mézières"
"531","Rue Cassette"
"532","Rue Marie Pape-Carpantier"
"533","Rue Huysmans"
"534","Rue Guynemer"
"535","Rue Jean Bart"
"536","Rue de Fleurus"
"537","Rue Sainte-Beuve"
"538","Place Saint-Sulpice"
"539","Rue Férou"
"540","Rue du Canivet"
"541","Rue Servandoni"
"542","Rue Garancière"
"543","Rue de Tournon"
"544","Rue des Quatre Vents"
"545","Rue Rotrou"
"546","Rue Bréa"
"547","Rue Jules Chaplain"
"548","Rue d'Assas"
"549","Avenue de l'Observatoire"
"550","Rue Michelet"
"551","Rue Auguste Comte"
"552","Rue Herschel"
"553","Place Ernest Denis"
"554","Rue Joseph Bara"
"555","Rue Le Verrier"
"556","Rue des Chartreux"
"557","Rue Notre-Dame des Champs"
"558","Place de la Sorbonne"
"559","Rue Grégoire de Tours"
"560","Carrefour de l'Odéon"
"561","Rue Monsieur le Prince"
"562","Rue Regnard"
"563","Rue Crébillon"
"564","Rue Casimir Delavigne"
"565","Rue de l'Odéon"
"566","Rue Dupuytren"
"567","Boulevard Saint-Germain"
"568","Rue Antoine Dubois"
"569","Rue Pierre Sarrazin"
"570","Rue Racine"
"571","Avenue Georges Bernanos"
"572","Rue Fustel de Coulanges"
"573","Rue Pierre Nicole"
"574","Rue du Val de Grâce"
"575","Rue des Feuillantines"
"576","Rue des Ursulines"
"577","Rue du Sommerard"
"578","Rue Victor Cousin"
"579","Rue Toullier"
"580","Rue Soufflot"
"581","Rue Thénard"
"582","Rue de Latran"
"583","Rue des Carmes"
"584","Rue du Cimetière Saint-Benoist"
"585","Impasse Chartière"
"586","Rue de Lanneau"
"587","Rue Valette"
"588","Rue Laplace"
"589","Rue Cujas"
"590","Rue de l'École Polytechnique"
"591","Place du Panthéon"
"592","Rue Clotilde"
"593","Rue des Irlandais"
"594","Rue Clotaire"
"595","Rue des Fossés Saint-Jacques"
"596","Rue Pierre et Marie Curie"
"597","Rue Louis Thuillier"
"598","Rue Malebranche"
"599","Impasse Royer-Collard"
"600","Rue Paillet"
"601","Rue Le Goff"
"602","Rue de Valence"
"603","Rue des Lyonnais"
"604","Rue Flatters"
"605","Rue Berthollet"
"606","Square Adanson"
"607","Place Georges-Moustaki"
"608","Rue Édouard Quénu"
"609","Rue de Candolle"
"610","Rue du Père Teilhard de Chardin"
"611","Rue Rollin"
"612","Rue des Bernardins"
"613","Rue Clovis"
"614","Rue du Cardinal Lemoine"
"615","Rue Malus"
"616","Rue de Navarre"
"617","Rue des Arènes"
"618","Rue des Boulangers"
"619","Rue Saint-Médard"
"620","Rue Thouin"
"621","Place Monge"
"622","Rue de l'Epée de Bois"
"623","Rue Érasme"
"624","Square Vermenouze"
"625","Rue de l'Arbalète"
"626","Rue Lagarde"
"627","Rue Lhomond"
"628","Rue Vauquelin"
"629","Rue Rataud"
"630","Rue Amyot"
"631","Rue Laromiguière"
"632","Rue Tournefort"
"633","Rue Pestalozzi"
"634","Rue du Marché des Patriarches"
"635","Boulevard Périphérique Intérieur"
"636","Rue Lapeyrère"
"637","Rue de Trétaigne"
"638","Rue des Cloÿs"
"639","Rue du Ruisseau"
"640","Rue Émile Blémont"
"641","Rue André Messager"
"642","Rue Versigny"
"643","Rue Joseph Dijon"
"644","Rue Calmels"
"645","Rue du Pôle Nord"
"646","Rue Vincent Compoint"
"647","Rue Gustave Rouanet"
"648","Rue Esclangon"
"649","Rue Montcalm"
"650","Rue Achille Martinet"
"651","Rue Diard"
"652","Rue du Baigneur"
"653","Rue Lecuyer"
"654","Rue Eugène Sue"
"655","Rue Baudelique"
"656","Square de Clignancourt"
"657","Rue Aimé Lavy"
"658","Rue d'Oslo"
"659","Place Jussieu"
"660","Rue Guy de la Brosse"
"661","Rue Boutebrie"
"662","Rue de la Parcheminerie"
"663","Rue Saint-Séverin"
"664","Rue Xavier Privas"
"665","Rue du Chat Qui Pêche"
"666","Rue Saint-Julien Le Pauvre"
"667","Rue Galande"
"668","Rue du Fouarre"
"669","Rue des Anglais"
"670","Rue de l'Hôtel Colbert"
"671","Rue des Trois Portes"
"672","Rue Frédéric Sauton"
"673","Rue de la Bûcherie"
"674","Rue des Grands Degrés"
"675","Rue Maître Albert"
"676","Rue Saint-Victor"
"677","Rue de Pontoise"
"678","Rue de Poissy"
"679","Rue des Chantiers"
"680","Rue Jean Nicot"
"681","Rue Henri Moissan"
"682","Avenue Sully-Prud'homme"
"683","Rue Surcouf"
"684","Rue du Colonel Combes"
"685","Rue Fabert"
"686","Rue de l'Université"
"687","Rue de Courty"
"688","Rue de Lille"
"689","Rue Aristide Briand"
"690","Place du Palais Bourbon"
"691","Rue de Poitiers"
"692","Pont du Carrousel"
"693","Rue de Gribeauval"
"694","Rue Montalembert"
"695","Passage de la Petite Boucherie"
"696","Rue Serpente"
"697","Rue de l'Abbaye"
"698","Rue des Poitevins"
"699","Rue des Beaux-Arts"
"700","Place Saint-André des Arts"
"701","Rue Jacob"
"702","Rue Saint-André des Arts"
"703","Rue du Pont de Lodi"
"704","Rue Gît-le-Coeur"
"705","Rue Séguier"
"706","Rue Christine"
"707","Rue de l'Hirondelle"
"708","Rue Mazarine"
"709","Rue Francisque Gay"
"710","Rue de Savoie"
"711","Rue de Furstemberg"
"712","Rue Jacques Callot"
"713","Rue Suger"
"714","Rue de Buci"
"715","Rue Saint-Guillaume"
"716","Rue de l'Éperon"
"717","Rue des Grands Augustins"
"718","Rue de Seine"
"719","Rue Cardinale"
"720","Rue Dauphine"
"721","Rue Mignon"
"722","Rue du Jardinet"
"723","Rue André Mazet"
"724","Autoroute de Normandie"
"725","Demi-Diffuseur de Bois-d'Arcy"
"726","Route de Versailles"
"727","Boulevard Saint-Antoine"
"728","Place Vendôme"
"729","Rue de Castiglione"
"730","L'Autoroute du Nord"
"731","Quai de Bercy"
"732","Rue Robert-Etlin"
"733","Rue du Sergent Bauchat"
"734","Rue Christian Dewet"
"735","Rue Montgallet"
"736","Passage Montgallet"
"737","Rue Ebelmen"
"738","Rue Rondelet"
"739","Impasse Erard"
"740","Rue Érard"
"741","Rue Chaligny"
"742","Avenue de Corbera"
"743","Passage Abel Leblanc"
"744","Rue Charles Bossut"
"745","Rue Bignon"
"746","Rue Élisa Lemonnier"
"747","Rue Pleyel"
"748","Allée Vivaldi"
"749","Rue Brahms"
"750","Rue Antoine-Julien Hénard"
"751","Rue Riesener"
"752","Rue de la Gare de Reuilly"
"753","Rue du Docteur Goujon"
"754","Rue Duphot"
"755","Rue de Mondovi"
"756","Rue Volney"
"757","Rue Daunou"
"758","Rue Danielle Casanova"
"759","Rue Louis Le Grand"
"760","Rue d'Antin"
"761","Rue du Marché Saint-Honoré"
"762","Place du Marché Saint-Honoré"
"763","Rue d'Alger"
"764","Rue du 29 Juillet"
"765","Rue Saint-Hyacinthe"
"766","Rue de la Sourdière"
"767","Rue d'Argenteuil"
"768","Place André Malraux"
"769","Rue de Valois"
"770","Rue de Richelieu"
"771","Rue Thérèse"
"772","Rue Villedo"
"773","Rue Sainte-Anne"
"774","Rue des Moulins"
"775","Rue de Ventadour"
"776","Rue de la Michodière"
"777","Rue de Port Mahon"
"778","Rue Saint-Augustin"
"779","Rue Monsigny"
"780","Rue de Choiseul"
"781","Rue de Louvois"
"782","Rue Rameau"
"783","Rue Chérubini"
"784","Rue Lulli"
"785","Rue de Hanovre"
"786","Rue Grétry"
"787","Rue de Marivaux"
"788","Rue Ménars"
"789","Rue de la Bourse"
"790","Rue Laffitte"
"791","Rue de Luynes"
"792","Rue Chomel"
"793","Rue de Babylone"
"794","Pont d'Arcole"
"795","Rue de Marengo"
"796","Rue de l'Oratoire"
"797","Place du Carrousel"
"798","Rue Bailleul"
"799","Rue de l'Arbre Sec"
"800","Place du Louvre"
"801","Rue de la Tacherie"
"802","Rue de la Coutellerie"
"803","Rue Paul Féval"
"804","Rue de L'Abbé Patureau"
"805","Rue Gaston Couté"
"806","Rue du Mont Cenis"
"807","Passage Du Mont Cenis"
"808","Rue de Bigorre"
"809","Passage Montbrun"
"810","Rue Montbrun"
"811","Rue Bézout"
"812","Rue Hallé"
"813","Rue d'Alembert"
"814","Rue Rémy Dumoncel"
"815","Rue du Couédic"
"816","Rue Sophie Germain"
"817","Rue Couche"
"818","Rue Adolphe Focillon"
"819","Rue Marguerin"
"820","Rue Leneveux"
"821","Rue Alphonse Daudet"
"822","Rue Marié-Davy"
"823","Rue Sarrette"
"824","Rue Beaunier"
"825","Rue du Douanier Rousseau"
"826","Rue Henri Regnault"
"827","Rue du Père Corentin"
"828","Rue Lacaze"
"829","Rue de Grenelle"
"830","Rue de Talleyrand"
"831","Rue de Bourgogne"
"832","Rue de Martignac"
"833","Rue Casimir Périer"
"834","Rue Las Cases"
"835","Rue de Champagny"
"836","Rue de Saint-Simon"
"837","Passage de la Visitation"
"838","Rue de la Chaise"
"839","Rue de Varenne"
"840","Rue Récamier"
"841","Rue Perronet"
