Geo Point;Geo Shape;ID_REF_ZDL;ID_REF_ZDE;GARES_ID;NOM_GARE;NOMLONG;NOM_IV;NUM_MOD;MODE_;FER;TRAIN;RER;METRO;TRAMWAY;NAVETTE;VAL;TERFER;TERTRAIN;TERRER;TERMETRO;TERTRAM;TERNAVETTE;TERVAL;IDREFLIGA;IDREFLIGC;LIGNE;COD_LIGF;LIGNE_CODE;INDICE_LIG;RESEAU;RES_COM;COD_RESF;RES_STIF;EXPLOITANT;NUM_PSR;IDF;PRINCIPAL;X;Y;EDITEUR;EDIT_DATE;TERMINUS
48.8299902817, 2.37574814434;"{""type"": ""Point"", ""coordinates"": [2.375748144341913, 48.829990281683564]}";45301;21955;72;Biblioth̬que Fran̤ois Mitterrand;BIBLIOTHEQUE FRANCOIS MITTERRAND;Biblioth̬que Fran̤ois Mitterrand;2376;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01547;;14;6.0;14-383;14;METRO;M14;3.0;110.0;RATP;0;1;0;654173.3908;6859062.6022;;;0
48.8420053473, 2.23888732579;"{""type"": ""Point"", ""coordinates"": [2.238887325790711, 48.84200534728089]}";42380;21988;99;Boulogne-Jean Jaur̬s;BOULOGNE-JEAN JAURES;Boulogne-Jean Jaur̬s;2264;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01543;;10;2.0;10-110025;10;METRO;M10;3.0;110.0;RATP;0;1;0;644139.5371;6860486.666;;;0
48.8561407093, 2.37020933841;"{""type"": ""Point"", ""coordinates"": [2.370209338414258, 48.85614070934924]}";42390;22008;107;Br̩guet-Sabin;BREGUET-SABIN;Br̩guet-Sabin;2107;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01538;;5;11.0;5-105069;5;METRO;M5;3.0;110.0;RATP;0;1;0;653789.9847;6861973.5003;;;0
48.884594208, 2.33794977706;"{""type"": ""Point"", ""coordinates"": [2.337949777055663, 48.88459420803534]}";42155;22059;2;Abbesses;ABBESSES;Abbesses;2304;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01545;;12;4.0;12-112075;12;METRO;M12;3.0;110.0;RATP;0;1;0;651449.5655;6865156.6779;;;0
48.8410940563, 2.2879457665;"{""type"": ""Point"", ""coordinates"": [2.287945766499665, 48.8410940563496]}";42370;22188;94;Boucicaut;BOUCICAUT;Boucicaut;2223;Metro;0;0;0;1;0;0;0;0;0;0;0;0;0;0;A01541;;8;15.0;8-108023;8;METRO;M8;3.0;110.0;RATP;0;1;0;647739.0763;6860351.7535;;;0
48.8983921248, 2.35837546934;"{""type"": ""Point"", ""coordinates"": [2.358375469336868, 48.89839212477815]}";44517;412988;1115;Porte de la Chapelle;PORTE DE LA CHAPELLE;Porte de la Chapelle;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;T3B;0;0;A01757;;T3B;0.0;T3B-112085;3B;TRAMWAY;T3B;5.0;112.0;RATP;0;1;1;652959.8859;6866678.5702;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.78728035, 2.36698844495;"{""type"": ""Point"", ""coordinates"": [2.366988444947912, 48.78728035004914]}";45049;29903;1142;Villejuif-Louis Aragon;VILLEJUIF-LOUIS ARAGON;Villejuif-Louis Aragon;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;T7;0;0;A02134;;T7;37.0;T7-107005;7;TRAMWAY;T7;5.0;112.0;RATP;0;1;0;653492.2811;6854318.9461;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.9389501578, 2.35632186742;"{""type"": ""Point"", ""coordinates"": [2.356321867421057, 48.93895015783626]}";44095;28846;1133;March̩ de Saint-Denis;MARCHE DE SAINT-DENIS;March̩ de Saint-Denis;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;T5;0;0;A01760;;T5;35.0;T5-1002;5;TRAMWAY;T5;5.0;112.0;RATP;0;1;0;652846.0959;6871189.7517;LUDOVIC.GUILLOT;2018-04-23T02:00:00+02:00;1
48.8974287356, 2.38658143311;"{""type"": ""Point"", ""coordinates"": [2.38658143311372, 48.89742873557869]}";44518;29379;1110;Porte de la Villette;PORTE DE LA VILLETTE;Porte de la Villette;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01757;;T3B;0.0;T3B-107031;3B;TRAMWAY;T3B;5.0;112.0;RATP;0;1;1;655026.9055;6866555.0116;;;0
48.9526378826, 2.35797833108;"{""type"": ""Point"", ""coordinates"": [2.357978331080607, 48.95263788257678]}";46338;28851;1129;Petit Pierrefitte;PETIT PIERREFITTE;Petit Pierrefitte;0;Tramway;0;0;0;0;1;0;0;0;0;0;0;0;0;0;A01760;;T5;35.0;T5-1711;5;TRAMWAY;T5;5.0;112.0;RATP;0;1;0;652979.8166;6872710.8444;;;0
